,Country,EdLevel,YearsCodePro,Salary
189,0,1,9.0,68814.0
190,0,0,0.5,36745.0
191,0,0,5.0,63469.0
192,0,1,1.0,46099.0
193,0,1,4.0,90193.0
194,0,2,3.0,31272.0
195,0,0,8.0,60129.0
196,0,0,8.0,97542.0
197,0,0,3.0,36024.0
198,0,1,10.0,86853.0
199,0,0,6.0,56788.0
200,0,2,8.0,120257.0
201,0,0,3.0,43426.0
202,0,1,9.0,93533.0
203,0,2,7.0,96874.0
204,0,0,8.0,66810.0
205,0,3,10.0,80172.0
206,0,1,5.0,66810.0
207,0,0,3.0,56788.0
208,0,0,6.0,73491.0
209,0,1,5.0,135757.0
210,0,0,5.0,73491.0
211,0,0,3.0,50107.0
212,0,0,2.0,50107.0
213,0,0,4.0,49439.0
214,0,0,10.0,53448.0
215,0,0,2.0,84180.0
216,0,1,5.0,65473.0
217,0,0,4.0,60129.0
218,0,0,2.0,41422.0
219,0,0,8.0,26700.0
220,0,0,3.0,56788.0
221,0,0,7.0,91529.0
222,0,0,0.5,43426.0
223,0,0,10.0,60129.0
224,0,0,5.0,50107.0
225,0,0,4.0,50107.0
226,0,0,6.0,58458.0
227,0,0,4.0,61465.0
228,0,0,2.0,73491.0
229,0,0,6.0,49439.0
230,0,0,0.5,40080.0
231,0,0,2.0,53448.0
232,0,3,1.0,43426.0
233,0,3,6.0,60129.0
234,0,1,7.0,50100.0
235,0,0,2.0,46767.0
236,0,0,6.0,66800.0
237,0,2,6.0,64140.0
238,0,2,8.0,60129.0
239,0,0,5.0,61465.0
240,0,0,6.0,69499.0
241,0,0,3.0,51777.0
242,0,0,5.0,68146.0
243,0,0,8.0,48108.0
244,0,0,5.0,62133.0
245,0,0,2.0,86850.0
246,0,1,4.0,62534.0
247,0,2,0.5,80172.0
248,0,0,5.0,53450.0
249,0,0,3.0,53448.0
250,0,0,1.0,108098.0
251,0,0,5.0,86853.0
252,0,0,7.0,133619.0
253,0,0,9.0,80172.0
254,0,1,5.0,33405.0
255,0,0,4.0,54120.0
256,0,0,1.0,38616.0
257,0,0,4.0,105250.0
258,0,0,8.0,80172.0
259,0,1,8.0,46767.0
260,0,0,4.0,40086.0
261,0,0,10.0,48103.0
262,0,0,2.0,53448.0
263,0,0,10.0,130279.0
264,0,2,6.0,93533.0
265,0,0,3.0,63469.0
266,0,2,10.0,100214.0
267,0,0,10.0,83512.0
268,0,2,7.0,83512.0
269,0,1,10.0,63469.0
270,0,3,8.0,81508.0
271,0,0,5.0,76831.0
272,0,3,10.0,70818.0
273,0,0,5.0,60129.0
274,0,2,4.0,80172.0
275,0,3,6.0,110236.0
276,0,0,7.0,69482.0
277,0,0,8.0,47412.0
278,0,0,8.0,80172.0
279,0,0,7.0,53448.0
280,0,2,8.0,96874.0
281,0,2,5.0,80172.0
282,0,3,7.0,80172.0
283,0,1,0.5,33405.0
284,0,0,8.0,66810.0
285,0,0,8.0,76831.0
286,0,1,10.0,100214.0
287,0,0,10.0,133619.0
288,0,2,4.0,60129.0
289,0,0,9.0,83512.0
290,0,0,4.0,70150.0
291,0,1,3.0,66810.0
292,0,0,6.0,70818.0
293,0,0,6.0,52780.0
294,0,1,4.0,42758.0
295,0,0,5.0,94558.0
296,0,1,3.0,60129.0
297,0,0,10.0,70818.0
298,0,3,6.0,134894.0
299,0,3,10.0,80172.0
300,0,0,6.0,70150.0
301,0,0,6.0,104891.0
302,0,1,4.0,70150.0
303,0,1,7.0,86853.0
304,0,0,6.0,66810.0
305,0,1,10.0,76831.0
306,0,0,6.0,60129.0
307,0,2,6.0,66142.0
308,0,0,4.0,66810.0
309,0,0,8.0,63336.0
310,0,0,3.0,70150.0
311,0,1,1.0,30064.0
312,0,0,8.0,86853.0
313,0,0,3.0,63469.0
314,0,0,2.0,33405.0
315,0,0,3.0,40754.0
316,0,0,6.0,33672.0
317,0,0,2.0,45097.0
318,0,0,7.0,80172.0
319,0,0,7.0,90193.0
320,0,0,2.0,55118.0
321,0,1,10.0,90193.0
322,0,0,10.0,79503.0
323,0,0,5.0,53448.0
324,0,0,3.0,61465.0
325,0,0,0.5,50107.0
326,0,0,4.0,56788.0
327,0,0,7.0,50107.0
328,0,0,10.0,51590.0
329,0,0,7.0,130947.0
330,0,0,6.0,105893.0
331,0,1,10.0,87521.0
332,0,2,8.0,72156.0
333,0,0,2.0,46767.0
334,0,0,0.5,44762.0
335,0,2,3.0,106895.0
336,0,0,4.0,93533.0
337,0,2,6.0,103555.0
338,0,2,5.0,86853.0
339,0,2,1.0,46767.0
340,0,0,6.0,73491.0
341,0,0,5.0,80172.0
342,0,0,5.0,80172.0
343,0,0,10.0,53448.0
344,0,0,6.0,91529.0
345,0,2,3.0,54116.0
346,0,0,0.5,53448.0
